Word;DocNumber;Weight
SIGNIFICANCE;00001;0.6439938906012768
SIGNIFICANCE;00074;1.9319816718038303
SIGNIFICANCE;00078;0.9659908359019151
SIGNIFICANCE;00121;0.6439938906012768
SIGNIFICANCE;00147;0.7727926687215322
SIGNIFICANCE;00157;1.2879877812025535
SIGNIFICANCE;00179;0.6439938906012768
SIGNIFICANCE;00185;0.7727926687215322
SIGNIFICANCE;00195;1.2879877812025535
SIGNIFICANCE;00205;0.3219969453006384
SIGNIFICANCE;00223;0.6439938906012768
SIGNIFICANCE;00258;0.3512693948734237
SIGNIFICANCE;00319;0.7727926687215322
SIGNIFICANCE;00355;0.7727926687215322
SIGNIFICANCE;00402;1.2879877812025535
SIGNIFICANCE;00411;0.3863963343607661
SIGNIFICANCE;00412;1.2879877812025535
SIGNIFICANCE;00485;1.2879877812025535
SIGNIFICANCE;00526;0.551994763372523
SIGNIFICANCE;00555;0.7727926687215322
SIGNIFICANCE;00593;0.7727926687215322
SIGNIFICANCE;00631;0.6439938906012768
SIGNIFICANCE;00809;1.2879877812025535
SIGNIFICANCE;00858;0.3863963343607661
SIGNIFICANCE;00923;0.9659908359019151
SIGNIFICANCE;01151;0.551994763372523
PSEUDOMONAS;00001;1.4158002202403757
PSEUDOMONAS;00007;0.28316004404807515
PSEUDOMONAS;00008;0.15731113558226395
PSEUDOMONAS;00018;0.8090286972802146
PSEUDOMONAS;00061;0.9438668134935837
PSEUDOMONAS;00062;1.2870911093094324
PSEUDOMONAS;00079;0.7079001101201878
PSEUDOMONAS;00080;0.9438668134935837
PSEUDOMONAS;00081;1.8877336269871674
PSEUDOMONAS;00082;2.8316004404807513
PSEUDOMONAS;00123;1.4158002202403757
PSEUDOMONAS;00135;0.7079001101201878
PSEUDOMONAS;00148;0.9438668134935837
PSEUDOMONAS;00152;0.7079001101201878
PSEUDOMONAS;00159;0.5663200880961503
PSEUDOMONAS;00160;0.5663200880961503
PSEUDOMONAS;00161;0.5663200880961503
PSEUDOMONAS;00176;0.5663200880961503
PSEUDOMONAS;00177;0.7079001101201878
PSEUDOMONAS;00178;0.47193340674679185
PSEUDOMONAS;00188;1.1326401761923006
PSEUDOMONAS;00200;1.8877336269871674
